Label,DEPTH,Plot,Rainfall,Interval,Sample_mass,SandMasswBag,Dryingbagmass,Drymasswbag,D_bagMasswSand,DrySandMass,TotalBagwSandMass,Date,Time,Datetime,Wmass,Dmass,Moist
3Q4,3,4,10,1,9.71,4.04,1.24,5.7,3.09,1.85,5.89,7/30/22,18:00:00,7/30/22 18:00,3.82,2.61,46.36015326
1Q8,1,8,10,5,8.53,4.81,1.33,4.06,1.9,0.57,5.38,7/31/22,18:00:00,7/31/22 18:00,3.15,2.16,45.83333333
1Q7,1,7,5,6,7.22,3.79,1.33,3.85,1.86,0.53,4.32,8/1/22,0:00:00,8/1/22 0:00,2.9,1.99,45.72864322
1Q13,1,13,10,5,7.44,3.63,1.32,4.12,1.91,0.59,4.22,7/31/22,18:00:00,7/31/22 18:00,3.22,2.21,45.70135747
3Q14,3,14,5,6,6.45,2.41,1.31,4.26,1.87,0.56,2.97,8/1/22,0:00:00,8/1/22 0:00,3.48,2.39,45.60669456
1Q10,1,10,5,4,6.23,3.45,1.29,3.26,1.47,0.18,3.63,7/31/22,12:00:00,7/31/22 12:00,2.6,1.79,45.25139665
1Q10,1,10,5,2,6.89,3.66,1.29,3.67,1.78,0.49,4.15,7/31/22,0:00:00,7/31/22 0:00,2.74,1.89,44.97354497
1Q14,1,14,5,6,6.22,2.81,1.28,3.73,1.59,0.31,3.12,8/1/22,0:00:00,8/1/22 0:00,3.1,2.14,44.85981308
1Q7,1,7,5,4,6.95,3.91,1.35,3.53,1.61,0.26,4.17,7/31/22,12:00:00,7/31/22 12:00,2.78,1.92,44.79166667
1Q12,1,12,10,4,6.3,3.08,1.31,3.66,1.7,0.39,3.47,7/31/22,12:00:00,7/31/22 12:00,2.83,1.96,44.3877551
3Q2,3,2,5,4,6.43,3.78,1.3,3.24,1.63,0.33,4.11,7/31/22,12:00:00,7/31/22 12:00,2.32,1.61,44.09937888
